current_time,command,category,wearerID,devicePos,dataID,subid,c_leftPower,c_rightPower,playType
99.56,99,1,2,0,13,0,50,50,0
99.94,99,1,2,0,13,0,50,50,0
100.28,99,1,2,0,13,0,50,50,0
100.6,99,1,2,0,13,0,50,50,0
100.97,99,1,2,0,13,0,50,50,0
101.25,99,1,2,0,13,0,50,50,0
101.47,99,1,2,0,13,0,50,50,0
101.67,99,1,2,0,13,0,50,50,0
101.85,99,1,2,0,13,0,50,50,0
102.2,99,1,2,0,10,0,200,200,0
102.75,99,1,2,0,14,0,150,150,0
104,1,1,2,0,99,99,99,99,99
112,2,1,2,0,99,99,99,99,99
,,,,,,,,,
